player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Filip Petrušev,C,23,PHI,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filip Petrušev,C,23,SAC,2,3.5,1.5,0.0,0.0,.500,0.0,.500,0.0,0.0,0.0
Hamidou Diallo,SG,25,WAS,2,2.5,1.0,1.0,0.5,.500,0.0,.500,1.0,0.0,0.5
Frank Ntilikina,PG,25,CHO,5,8.6,1.0,1.2,0.8,.111,.125,.167,0.0,0.0,0.2
Joshua Primo,SG,21,LAC,2,5.0,1.0,0.5,0.0,.333,.000,.333,0.0,0.5,2.0
Thanasis Antetokounmpo,PF,31,MIL,34,4.6,0.9,0.4,0.5,.533,.000,.533,0.2,0.1,0.4
James Johnson,PF,36,IND,9,5.2,0.9,0.4,0.9,.300,.000,.300,0.6,0.1,0.6
Charlie Brown Jr.,SG,26,NYK,8,4.6,0.8,0.3,0.0,.200,.286,.300,0.0,0.3,0.3
DaQuan Jeffries,SG,26,NYK,17,2.7,0.8,0.3,0.3,.353,.200,.412,0.0,0.1,0.2
Shaquille Harrison,SG,30,MEM,3,2.0,0.7,0.7,0.0,.500,0.0,.500,0.0,0.3,0.0
Quenton Jackson,PG,25,IND,3,3.7,0.7,1.3,0.7,.000,0.0,.000,0.3,0.0,0.0
Wendell Moore Jr.,SG,22,MIN,25,3.0,0.7,0.5,0.2,.500,.000,.500,0.2,0.0,0.2
Jalen Slawson,SF,24,SAC,12,3.1,0.7,0.6,0.2,.667,.000,.667,0.1,0.1,0.2
Pat Spencer,PG,27,GSW,6,4.3,0.7,0.7,0.8,.500,.000,.500,0.0,0.0,0.2
Alondes Williams,SG,24,MIA,7,2.3,0.7,0.1,0.0,.250,.000,.250,0.0,0.1,0.3
Juan Toscano-Anderson,SF,30,SAC,11,4.8,0.6,1.3,0.4,.250,.250,.292,0.1,0.1,0.2
Usman Garuba,PF,21,GSW,6,3.0,0.5,1.2,0.2,.167,.000,.167,0.2,0.5,0.3
E.J. Liddell,PF,23,NOP,8,2.9,0.5,0.6,0.1,.167,.000,.167,0.3,0.3,0.3
Pete Nance,PF,23,CLE,8,3.4,0.4,0.4,0.0,.167,1.000,.250,0.1,0.0,0.1
Maxwell Lewis,SF,21,LAL,34,3.0,0.3,0.1,0.2,.190,.111,.214,0.1,0.0,0.3
Ryan Arcidiacono,PG,29,NYK,20,2.3,0.0,0.4,0.2,.000,.000,.000,0.1,0.0,0.1
Malcolm Cazalon,SG,22,DET,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Crutcher,PG,24,NOP,1,3.0,0.0,0.0,0.0,.000,0.0,.000,0.0,0.0,0.0
Andrew Funk,SG,24,CHI,5,2.6,0.0,0.0,0.0,.000,.000,.000,0.2,0.2,0.0
Kaiser Gates,SF,27,NOP,1,7.0,0.0,1.0,0.0,.000,.000,.000,0.0,0.0,0.0
Danny Green,SG,36,PHI,2,9.0,0.0,1.0,0.5,.000,.000,.000,0.5,0.0,0.0
Ron Harper Jr.,PF,23,TOR,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jackson,SF,28,MIN,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dmytro Skapintsev,C,25,NYK,2,1.0,0.0,0.0,0.0,.000,0.0,.000,0.0,0.0,0.0
Javonte Smart,PG,24,PHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
League Average,,0.0,,0.0,0.0,0.0,0.0,0.0,.474,.366,.547,0.0,0.0,0.0
